75639,1:5,2:7,3:8,4:2,5:9,6:6,7:3,8:4,9:10,10:1
70385,1:3,2:6,3:10,4:2,5:4,6:7,7:8,8:1,9:9,10:5
89647,1:5,2:8,3:1,4:9,5:7,6:6,7:2,8:10,9:3,10:4
46180,1:1,2:2,3:4,4:6,5:7,6:10,7:9,8:5,9:8,10:3
4886,1:7,2:3,3:5,4:6,5:2,6:9,7:10,8:1,9:4,10:8
76151,1:1,2:4,3:2,4:10,5:7,6:3,7:6,8:8,9:9,10:5
78581,1:7,2:9,3:6,4:10,5:5,6:2,7:4,8:1,9:8,10:3
2143,1:2,2:6,3:9,4:5,5:4,6:1,7:8,8:7,9:3,10:10
85764,1:4,2:2,3:5,4:7,5:10,6:1,7:6,8:8,9:9,10:3
87935,1:3,2:4,3:7,4:5,5:6,6:8,7:9,8:1,9:10,10:2
73982,1:2,2:9,3:4,4:5,5:6,6:10,7:3,8:7,9:8,10:1
53297,1:3,2:2,3:10,4:5,5:6,6:7,7:8,8:4,9:9,10:1
91379,1:2,2:3,3:10,4:6,5:9,6:1,7:7,8:8,9:4,10:5
23236,1:1,2:9,3:7,4:6,5:8,6:10,7:4,8:3,9:5,10:2
50550,1:8,2:6,3:3,4:1,5:5,6:7,7:10,8:2,9:4,10:9
55171,1:5,2:7,3:10,4:4,5:3,6:8,7:1,8:6,9:9,10:2
34423,1:6,2:4,3:8,4:1,5:10,6:7,7:2,8:3,9:5,10:9
35506,1:4,2:7,3:1,4:10,5:9,6:5,7:6,8:3,9:8,10:2
55206,1:4,2:10,3:9,4:5,5:7,6:6,7:8,8:3,9:2,10:1
31515,1:2,2:10,3:3,4:9,5:4,6:1,7:5,8:7,9:8,10:6
98332,1:1,2:5,3:4,4:2,5:6,6:9,7:10,8:7,9:8,10:3
68563,1:3,2:6,3:1,4:9,5:10,6:4,7:8,8:2,9:7,10:5
98914,1:4,2:5,3:6,4:10,5:9,6:7,7:3,8:2,9:1,10:8
44627,1:2,2:7,3:3,4:6,5:10,6:5,7:9,8:8,9:1,10:4
45147,1:4,2:6,3:10,4:9,5:5,6:7,7:2,8:1,9:3,10:8
53215,1:6,2:8,3:3,4:10,5:2,6:1,7:7,8:5,9:4,10:9
86811,1:1,2:5,3:7,4:3,5:9,6:8,7:6,8:4,9:10,10:2
35534,1:5,2:7,3:3,4:9,5:4,6:6,7:8,8:1,9:2,10:10
95238,1:1,2:7,3:8,4:2,5:5,6:3,7:4,8:6,9:9,10:10
72162,1:10,2:9,3:4,4:7,5:5,6:8,7:3,8:1,9:2,10:6
39064,1:9,2:4,3:8,4:10,5:7,6:2,7:3,8:6,9:1,10:5
55104,1:2,2:6,3:7,4:9,5:1,6:10,7:5,8:3,9:8,10:4
69939,1:7,2:8,3:2,4:3,5:4,6:5,7:1,8:9,9:6,10:10
50624,1:10,2:1,3:5,4:4,5:7,6:3,7:6,8:2,9:8,10:9
68204,1:7,2:8,3:2,4:6,5:5,6:9,7:4,8:10,9:1,10:3
70162,1:7,2:10,3:3,4:5,5:1,6:8,7:6,8:9,9:4,10:2
14992,1:9,2:3,3:6,4:10,5:7,6:2,7:1,8:4,9:5,10:8
14190,1:8,2:7,3:4,4:10,5:6,6:3,7:1,8:5,9:9,10:2
96507,1:6,2:5,3:1,4:4,5:3,6:8,7:7,8:2,9:9,10:10
90524,1:8,2:6,3:10,4:7,5:2,6:4,7:9,8:3,9:5,10:1
50429,1:9,2:1,3:5,4:7,5:10,6:2,7:8,8:6,9:3,10:4
52758,1:6,2:9,3:10,4:7,5:2,6:3,7:5,8:1,9:4,10:8
78483,1:8,2:9,3:5,4:10,5:7,6:4,7:6,8:1,9:3,10:2
53459,1:8,2:5,3:7,4:10,5:3,6:2,7:6,8:9,9:4,10:1
30853,1:5,2:8,3:10,4:7,5:3,6:4,7:6,8:9,9:1,10:2
5305,1:8,2:6,3:5,4:4,5:9,6:7,7:3,8:2,9:10,10:1
28799,1:10,2:3,3:5,4:7,5:6,6:8,7:2,8:1,9:4,10:9
83901,1:5,2:3,3:4,4:9,5:6,6:2,7:7,8:1,9:10,10:8
51971,1:9,2:7,3:3,4:2,5:4,6:1,7:6,8:10,9:5,10:8
88334,1:8,2:3,3:9,4:5,5:4,6:6,7:7,8:1,9:2,10:10
87413,1:9,2:8,3:5,4:7,5:4,6:6,7:3,8:1,9:2,10:10
25200,1:9,2:5,3:6,4:7,5:4,6:2,7:8,8:10,9:3,10:1
19390,1:5,2:10,3:8,4:3,5:7,6:9,7:4,8:1,9:6,10:2
92683,1:7,2:3,3:8,4:2,5:1,6:6,7:4,8:5,9:10,10:9
10918,1:2,2:5,3:8,4:7,5:1,6:3,7:6,8:9,9:4,10:10
80920,1:9,2:4,3:10,4:8,5:1,6:7,7:2,8:5,9:6,10:3
38958,1:8,2:6,3:4,4:2,5:3,6:10,7:9,8:1,9:5,10:7
5381,1:7,2:6,3:9,4:3,5:4,6:8,7:2,8:10,9:1,10:5
55023,1:4,2:3,3:9,4:2,5:5,6:10,7:6,8:1,9:7,10:8
18378,1:10,2:1,3:7,4:4,5:3,6:2,7:9,8:6,9:5,10:8
27257,1:6,2:10,3:2,4:5,5:9,6:4,7:1,8:8,9:7,10:3
79033,1:2,2:10,3:7,4:3,5:8,6:4,7:5,8:1,9:6,10:9
97293,1:10,2:8,3:4,4:7,5:6,6:2,7:5,8:3,9:9,10:1
29438,1:8,2:4,3:5,4:3,5:7,6:10,7:2,8:9,9:1,10:6
78149,1:5,2:7,3:3,4:10,5:1,6:8,7:9,8:4,9:6,10:2
99501,1:4,2:6,3:10,4:8,5:5,6:1,7:7,8:3,9:2,10:9
79774,1:7,2:4,3:9,4:10,5:3,6:5,7:1,8:2,9:6,10:8
29749,1:4,2:7,3:10,4:1,5:5,6:3,7:6,8:9,9:8,10:2
1729,1:8,2:1,3:10,4:7,5:2,6:5,7:6,8:4,9:3,10:9
64967,1:1,2:5,3:9,4:3,5:7,6:8,7:6,8:4,9:2,10:10
38091,1:5,2:4,3:3,4:8,5:2,6:9,7:6,8:7,9:1,10:10
16984,1:8,2:5,3:9,4:7,5:3,6:6,7:1,8:2,9:4,10:10
5902,1:1,2:2,3:10,4:6,5:3,6:4,7:7,8:9,9:5,10:8
52677,1:1,2:2,3:7,4:4,5:3,6:6,7:5,8:9,9:10,10:8
39574,1:4,2:1,3:6,4:10,5:2,6:3,7:7,8:9,9:5,10:8
4462,1:8,2:10,3:4,4:9,5:5,6:2,7:6,8:1,9:7,10:3
16702,1:1,2:6,3:5,4:8,5:3,6:7,7:9,8:10,9:2,10:4
74778,1:8,2:3,3:7,4:5,5:4,6:1,7:6,8:2,9:10,10:9
23084,1:10,2:2,3:6,4:7,5:4,6:1,7:8,8:3,9:9,10:5
66962,1:5,2:3,3:10,4:2,5:4,6:1,7:6,8:8,9:7,10:9
3370,1:9,2:3,3:6,4:7,5:10,6:2,7:8,8:1,9:4,10:5
97144,1:10,2:9,3:7,4:8,5:5,6:3,7:4,8:1,9:2,10:6
41184,1:2,2:4,3:1,4:10,5:6,6:3,7:9,8:5,9:7,10:8
7322,1:6,2:3,3:7,4:10,5:1,6:8,7:2,8:5,9:4,10:9
90189,1:2,2:3,3:8,4:1,5:7,6:4,7:5,8:9,9:10,10:6
30957,1:6,2:3,3:7,4:4,5:2,6:10,7:1,8:9,9:5,10:8
52877,1:1,2:8,3:3,4:9,5:6,6:4,7:5,8:7,9:10,10:2
98611,1:5,2:10,3:3,4:6,5:9,6:1,7:4,8:8,9:7,10:2
3070,1:6,2:8,3:10,4:7,5:1,6:3,7:4,8:5,9:2,10:9
53267,1:8,2:1,3:5,4:10,5:6,6:4,7:3,8:7,9:2,10:9
52606,1:1,2:2,3:3,4:4,5:7,6:8,7:10,8:5,9:9,10:6
11709,1:5,2:10,3:2,4:8,5:1,6:4,7:9,8:3,9:7,10:6
86157,1:9,2:10,3:6,4:7,5:2,6:4,7:8,8:3,9:5,10:1
53770,1:9,2:10,3:1,4:3,5:5,6:4,7:6,8:7,9:8,10:2
25283,1:6,2:1,3:3,4:4,5:5,6:8,7:2,8:9,9:7,10:10
80001,1:5,2:10,3:1,4:6,5:7,6:2,7:4,8:9,9:8,10:3
82736,1:6,2:5,3:10,4:8,5:4,6:3,7:1,8:2,9:9,10:7
4221,1:6,2:5,3:1,4:10,5:4,6:9,7:8,8:7,9:3,10:2
73550,1:6,2:8,3:4,4:10,5:9,6:7,7:2,8:3,9:5,10:1
3628,1:1,2:5,3:10,4:8,5:3,6:2,7:4,8:7,9:6,10:9
88783,1:9,2:7,3:4,4:8,5:6,6:2,7:1,8:10,9:3,10:5
12328,1:1,2:9,3:6,4:2,5:10,6:4,7:3,8:8,9:7,10:5
38934,1:8,2:2,3:5,4:1,5:3,6:4,7:7,8:10,9:9,10:6
86744,1:8,2:1,3:3,4:5,5:7,6:9,7:10,8:6,9:4,10:2
22166,1:6,2:7,3:4,4:10,5:9,6:3,7:1,8:5,9:8,10:2
6384,1:7,2:8,3:6,4:9,5:5,6:3,7:10,8:1,9:2,10:4
33302,1:2,2:3,3:9,4:8,5:1,6:10,7:7,8:5,9:6,10:4
89190,1:9,2:8,3:3,4:6,5:2,6:1,7:5,8:4,9:7,10:10
4862,1:3,2:9,3:4,4:7,5:2,6:8,7:5,8:6,9:1,10:10
43506,1:9,2:10,3:7,4:8,5:4,6:1,7:5,8:6,9:2,10:3
82693,1:9,2:3,3:2,4:7,5:5,6:8,7:1,8:10,9:6,10:4
96318,1:4,2:8,3:2,4:10,5:3,6:9,7:6,8:1,9:5,10:7
72822,1:10,2:4,3:9,4:7,5:6,6:1,7:5,8:3,9:2,10:8
17764,1:5,2:4,3:9,4:3,5:6,6:1,7:2,8:7,9:8,10:10
25192,1:6,2:4,3:5,4:7,5:3,6:1,7:10,8:2,9:8,10:9
633,1:3,2:9,3:2,4:6,5:10,6:7,7:8,8:4,9:5,10:1
44047,1:8,2:3,3:10,4:5,5:1,6:6,7:2,8:7,9:9,10:4
90066,1:1,2:3,3:2,4:10,5:4,6:7,7:6,8:9,9:5,10:8
90550,1:10,2:9,3:7,4:1,5:6,6:2,7:4,8:3,9:5,10:8
51333,1:1,2:5,3:3,4:4,5:8,6:2,7:7,8:9,9:10,10:6
86356,1:5,2:1,3:8,4:10,5:3,6:6,7:9,8:7,9:4,10:2
86004,1:5,2:10,3:2,4:6,5:7,6:4,7:8,8:9,9:1,10:3
87412,1:5,2:7,3:3,4:6,5:4,6:9,7:8,8:2,9:1,10:10
96216,1:5,2:2,3:9,4:7,5:4,6:8,7:10,8:6,9:1,10:3
90835,1:2,2:6,3:8,4:1,5:5,6:10,7:7,8:3,9:9,10:4
63787,1:8,2:4,3:9,4:5,5:6,6:3,7:1,8:7,9:10,10:2
82823,1:2,2:6,3:1,4:9,5:5,6:10,7:7,8:4,9:3,10:8
7642,1:2,2:10,3:7,4:1,5:9,6:3,7:8,8:4,9:6,10:5
83247,1:9,2:5,3:7,4:6,5:10,6:2,7:8,8:4,9:3,10:1
52313,1:9,2:5,3:8,4:1,5:3,6:2,7:6,8:10,9:7,10:4
49744,1:2,2:3,3:6,4:7,5:1,6:4,7:10,8:5,9:9,10:8
38193,1:2,2:10,3:9,4:5,5:3,6:1,7:4,8:7,9:8,10:6
92251,1:8,2:4,3:5,4:6,5:9,6:3,7:10,8:7,9:1,10:2
3857,1:3,2:8,3:7,4:5,5:2,6:6,7:4,8:9,9:1,10:10
42413,1:1,2:2,3:8,4:9,5:4,6:10,7:7,8:5,9:3,10:6
2248,1:3,2:10,3:2,4:6,5:5,6:1,7:7,8:4,9:8,10:9
79491,1:6,2:1,3:2,4:3,5:4,6:10,7:8,8:7,9:5,10:9
58388,1:9,2:8,3:2,4:4,5:10,6:6,7:5,8:7,9:1,10:3
86462,1:6,2:4,3:5,4:8,5:9,6:2,7:1,8:7,9:10,10:3
15348,1:3,2:5,3:6,4:1,5:2,6:8,7:7,8:10,9:9,10:4
91673,1:1,2:3,3:4,4:9,5:10,6:6,7:5,8:2,9:8,10:7
82109,1:9,2:8,3:4,4:1,5:5,6:3,7:7,8:10,9:6,10:2
88310,1:5,2:7,3:8,4:6,5:4,6:9,7:2,8:10,9:1,10:3
73672,1:4,2:8,3:5,4:2,5:3,6:6,7:1,8:9,9:7,10:10
85896,1:2,2:5,3:7,4:4,5:1,6:6,7:9,8:8,9:10,10:3
66875,1:9,2:1,3:6,4:7,5:4,6:5,7:2,8:8,9:3,10:10
29359,1:5,2:8,3:1,4:9,5:3,6:4,7:10,8:2,9:7,10:6
60561,1:1,2:8,3:5,4:7,5:9,6:4,7:2,8:10,9:3,10:6
28179,1:1,2:2,3:4,4:6,5:9,6:8,7:5,8:10,9:7,10:3
67748,1:5,2:3,3:8,4:4,5:10,6:2,7:9,8:1,9:6,10:7
9312,1:9,2:2,3:7,4:10,5:1,6:6,7:3,8:4,9:5,10:8
73633,1:2,2:1,3:10,4:6,5:4,6:3,7:7,8:9,9:5,10:8
70577,1:7,2:9,3:5,4:1,5:4,6:8,7:3,8:6,9:2,10:10
11165,1:1,2:2,3:9,4:7,5:4,6:10,7:3,8:6,9:5,10:8
75213,1:2,2:10,3:3,4:1,5:9,6:5,7:7,8:4,9:6,10:8
31560,1:1,2:7,3:3,4:5,5:8,6:6,7:2,8:9,9:4,10:10
77334,1:8,2:1,3:3,4:9,5:2,6:7,7:6,8:10,9:5,10:4
90640,1:4,2:2,3:5,4:3,5:7,6:6,7:10,8:8,9:1,10:9
