40711,1:5,2:4,3:2,4:3,5:1
46454,1:3,2:2,3:4,4:5,5:1
23212,1:3,2:4,3:2,4:5,5:1
5612,1:4,2:1,3:2,4:5,5:3
20839,1:1,2:4,3:2,4:5,5:3
9430,1:2,2:4,3:5,4:3,5:1
44330,1:5,2:4,3:1,4:3,5:2
80263,1:3,2:5,3:4,4:2,5:1
22784,1:2,2:1,3:5,4:4,5:3
14331,1:3,2:2,3:1,4:5,5:4
68968,1:3,2:2,3:1,4:5,5:4
38831,1:3,2:1,3:4,4:2,5:5
87936,1:3,2:1,3:2,4:4,5:5
5436,1:1,2:2,3:4,4:5,5:3
38409,1:2,2:3,3:4,4:5,5:1
42334,1:1,2:5,3:3,4:2,5:4
79120,1:4,2:5,3:2,4:1,5:3
32429,1:4,2:1,3:3,4:5,5:2
62396,1:2,2:3,3:1,4:5,5:4
48365,1:5,2:1,3:3,4:2,5:4
31889,1:4,2:2,3:1,4:5,5:3
629,1:4,2:3,3:5,4:1,5:2
24076,1:4,2:2,3:1,4:3,5:5
60706,1:1,2:5,3:3,4:4,5:2
64945,1:1,2:2,3:3,4:5,5:4
73725,1:4,2:5,3:1,4:3,5:2
51517,1:2,2:3,3:5,4:1,5:4
62705,1:1,2:3,3:5,4:4,5:2
14292,1:4,2:5,3:2,4:1,5:3
41182,1:3,2:4,3:2,4:1,5:5
5959,1:5,2:4,3:3,4:2,5:1
29260,1:5,2:1,3:4,4:2,5:3
92258,1:1,2:3,3:2,4:5,5:4
71961,1:5,2:1,3:3,4:2,5:4
23429,1:1,2:4,3:2,4:5,5:3
34875,1:4,2:1,3:3,4:5,5:2
90321,1:4,2:3,3:2,4:5,5:1
93327,1:5,2:2,3:4,4:1,5:3
79441,1:3,2:4,3:2,4:1,5:5
77212,1:1,2:4,3:5,4:3,5:2
22187,1:2,2:3,3:5,4:4,5:1
84343,1:5,2:3,3:4,4:2,5:1
24988,1:2,2:5,3:1,4:3,5:4
66840,1:2,2:4,3:1,4:3,5:5
43036,1:3,2:1,3:5,4:2,5:4
97301,1:4,2:1,3:2,4:5,5:3
44496,1:1,2:3,3:5,4:2,5:4
31089,1:5,2:3,3:1,4:4,5:2
66999,1:1,2:5,3:4,4:3,5:2
31775,1:3,2:2,3:5,4:4,5:1
96934,1:4,2:2,3:1,4:5,5:3
51992,1:1,2:3,3:4,4:5,5:2
6522,1:5,2:3,3:4,4:1,5:2
25428,1:5,2:3,3:1,4:2,5:4
42188,1:4,2:3,3:2,4:5,5:1
72894,1:2,2:4,3:3,4:1,5:5
20600,1:3,2:1,3:4,4:5,5:2
53823,1:5,2:3,3:2,4:1,5:4
26650,1:3,2:4,3:5,4:1,5:2
48564,1:1,2:2,3:3,4:4,5:5
38037,1:3,2:1,3:4,4:5,5:2
91125,1:5,2:3,3:2,4:4,5:1
88560,1:1,2:2,3:5,4:4,5:3
21188,1:1,2:5,3:3,4:4,5:2
14650,1:3,2:4,3:5,4:1,5:2
34182,1:2,2:1,3:5,4:4,5:3
15647,1:5,2:4,3:2,4:1,5:3
29956,1:1,2:2,3:3,4:4,5:5
60214,1:1,2:2,3:3,4:4,5:5
86288,1:1,2:4,3:3,4:2,5:5
30612,1:2,2:5,3:4,4:3,5:1
44722,1:2,2:1,3:4,4:3,5:5
30891,1:2,2:3,3:1,4:4,5:5
94985,1:4,2:3,3:5,4:1,5:2
91750,1:2,2:1,3:4,4:3,5:5
2586,1:3,2:2,3:1,4:5,5:4
4346,1:3,2:4,3:2,4:1,5:5
31889,1:1,2:3,3:2,4:4,5:5
97775,1:2,2:5,3:1,4:4,5:3
71896,1:5,2:1,3:3,4:4,5:2
76411,1:3,2:1,3:2,4:4,5:5
59466,1:5,2:4,3:3,4:2,5:1
38661,1:1,2:3,3:2,4:4,5:5
8615,1:3,2:5,3:1,4:2,5:4
11883,1:5,2:4,3:2,4:3,5:1
48021,1:3,2:5,3:2,4:1,5:4
67599,1:1,2:2,3:5,4:4,5:3
77207,1:2,2:4,3:5,4:3,5:1
58760,1:3,2:1,3:5,4:2,5:4
86198,1:4,2:3,3:5,4:1,5:2
6498,1:2,2:4,3:5,4:3,5:1
14616,1:4,2:5,3:3,4:1,5:2
11132,1:2,2:3,3:1,4:5,5:4
